Label,Model,Config,PR_AUC_mean,PR_AUC_std,F1_mean,F1_std,Bal.Acc_mean,Bal.Acc_std,ROC_AUC_mean,ROC_AUC_std,Precision_mean,Sensitivity_mean,Specificity_mean
fine_tropical,RF,RF_n_estimators=300_max_features=sqrt,0.3666,0.0251057762277926,0.3944,0.0495408922002823,0.7048,0.0190840247327443,0.8206,0.0210428135001001,0.3339999999999999,0.4986,0.9116
fine_vanilla,SVM,SVM_C=10,0.5751999999999999,0.0563089690901902,0.5586,0.0790841324160542,0.7615999999999999,0.0557252187075115,0.8922000000000001,0.0478508098155088,0.6066,0.5316,0.992
fine_vegetable,RF,RF_n_estimators=100_max_features=log2,0.3712,0.0250039996800511,0.4034,0.0413920282180035,0.7455999999999999,0.0197433533119377,0.851,0.0379802580296658,0.3198,0.5730000000000001,0.9186
fine_vetiver,SVM,SVM_C=1,0.2775999999999999,0.0898738004092405,0.2466,0.0600483138814071,0.6364,0.0620628713483351,0.9116,0.0460358555910498,0.2633999999999999,0.2808,0.9928
fine_violet,RF,RF_n_estimators=300_max_features=log2,0.4312,0.0655949693193006,0.4214,0.0329438916948195,0.7128,0.0365540695408869,0.9294,0.0518198803549371,0.4394,0.434,0.9918
fine_warm,RF,RF_n_estimators=100_max_features=log2,0.0962,0.0517320017010747,0.1128,0.0836223654293514,0.5542,0.0480177050680267,0.6436,0.1021435264713334,0.1129999999999999,0.123,0.9852
fine_waxy,RF,RF_n_estimators=300_max_features=log2,0.5524,0.0157416644609139,0.525,0.0313847096529504,0.7502,0.0370364685141551,0.8902000000000001,0.0143596657342711,0.5064,0.5624,0.9378
fine_weedy,SVM,SVM_C=1,0.0536,0.0589516751246306,0.0,0.0,0.5,0.0,0.583,0.2089641117512765,0.0,0.0,1.0
fine_winey,XGB,XGB_n_estimators=300_max_depth=3,0.35,0.087198050436922,0.3586,0.04594344349306,0.6782,0.0368537650722419,0.8858,0.0348955584566288,0.365,0.394,0.9626
fine_woody,RF,RF_n_estimators=300_max_features=sqrt,0.6154,0.0407529140062401,0.5786,0.0413315859845711,0.774,0.0196850196850295,0.8640000000000001,0.0161709616287962,0.5324,0.6368,0.9106
