Model,Config,Label,Bal.Acc_mean,Bal.Acc_std,Bal.Acc_count,MCC_mean,MCC_std,MCC_count,F1_mean,F1_std,F1_count,ROC_AUC_mean,ROC_AUC_std,ROC_AUC_count,PR_AUC_mean,PR_AUC_std,PR_AUC_count,Precision_mean,Precision_std,Precision_count,Sensitivity_mean,Sensitivity_std,Sensitivity_count,Specificity_mean,Specificity_std,Specificity_count
KNN,KNN_n_neighbors=21_metric=euclidean,fine_vegetable,0.6732,0.038009209410352116,5,0.3396,0.06099836063370884,5,0.3722,0.05823401068104447,5,0.8215999999999999,0.027318491905667062,5,0.2958,0.0644026396974534,5,0.3802,0.0968101234375827,5,0.3896,0.0897346087081233,5,0.9566000000000001,0.022777181564012653,5
KNN,KNN_n_neighbors=21_metric=euclidean,fine_vetiver,0.6394,0.03126179777300086,5,0.2952,0.08176307234931918,5,0.298,0.0808486239833431,5,0.771,0.06464905258393196,5,0.1264,0.028605943438383564,5,0.3216,0.11426635550327138,5,0.284,0.06218118686548207,5,0.9954000000000001,0.0008944271909999079,5
KNN,KNN_n_neighbors=21_metric=euclidean,fine_violet,0.7150000000000001,0.05715330261673424,5,0.36360000000000003,0.08460673732038129,5,0.3646,0.08682338394695292,5,0.8646,0.07817480412511438,5,0.31920000000000004,0.06935560539711264,5,0.3224,0.09141006509132352,5,0.44239999999999996,0.11533126202378952,5,0.9878,0.002588435821108951,5
KNN,KNN_n_neighbors=21_metric=euclidean,fine_warm,0.526,0.02715695122800054,5,0.09559999999999999,0.08625137680060534,5,0.0688,0.03993369504566288,5,0.5636,0.05804136456011348,5,0.044599999999999994,0.021489532335534897,5,0.31020000000000003,0.40628155262083954,5,0.0726,0.08058721983044209,5,0.9795999999999999,0.032408332261935326,5
KNN,KNN_n_neighbors=21_metric=euclidean,fine_waxy,0.7434000000000001,0.015469324484281812,5,0.45380000000000004,0.033899852507053775,5,0.5094000000000001,0.03036939248651516,5,0.8705999999999999,0.017980545041794523,5,0.47119999999999995,0.028217016142746205,5,0.4734,0.04816430213342656,5,0.5544,0.03396763165132359,5,0.9324,0.012481987021303891,5
KNN,KNN_n_neighbors=21_metric=euclidean,fine_weedy,0.5,0.0,5,0.0,0.0,5,0.0,0.0,5,0.5554,0.07250724101770803,5,0.0128,0.004207136793592525,5,0.0,0.0,5,0.0,0.0,5,1.0,0.0,5
KNN,KNN_n_neighbors=21_metric=euclidean,fine_winey,0.648,0.0820182906430023,5,0.26080000000000003,0.12520263575500318,5,0.28300000000000003,0.14020520675067671,5,0.8404,0.030113120064184668,5,0.21739999999999998,0.029938269823087643,5,0.2742,0.07350986328377981,5,0.3332,0.1824108001188526,5,0.9629999999999999,0.020772578077841004,5
KNN,KNN_n_neighbors=21_metric=euclidean,fine_woody,0.7727999999999999,0.027307508125056012,5,0.4866,0.028023204670415545,5,0.5584,0.02278815481779952,5,0.8497999999999999,0.020437710243566918,5,0.5764,0.04106458328048634,5,0.493,0.042148546831415196,5,0.653,0.07286631594914071,5,0.8928,0.022720035211240337,5
KNN,KNN_n_neighbors=5_metric=cosine,fine_alcoholic,0.8026,0.0303364467266685,5,0.5372,0.04895610278606744,5,0.5426,0.04935382457317773,5,0.8779999999999999,0.04372070447739835,5,0.5316000000000001,0.08152484283946826,5,0.488,0.06995355602112018,5,0.6194,0.060953260782340424,5,0.9858,0.0038340579025361414,5
KNN,KNN_n_neighbors=5_metric=cosine,fine_aldehydic,0.639,0.07178439941937244,5,0.2352,0.07134213341357264,5,0.2424,0.08402559133978173,5,0.7686,0.040469741783213824,5,0.1934,0.029652993103563764,5,0.24379999999999996,0.06364118163579303,5,0.3144,0.17708698427608954,5,0.9634,0.03861087929586682,5
KNN,KNN_n_neighbors=5_metric=cosine,fine_alliaceous,0.7609999999999999,0.10095791202278302,5,0.366,0.030626785662227107,5,0.3422,0.03603748048906861,5,0.8288,0.04296161077054723,5,0.3356,0.040128543457245,5,0.31239999999999996,0.16108786422322446,5,0.5666,0.2321191504378732,5,0.9554,0.031213779008636533,5
KNN,KNN_n_neighbors=5_metric=cosine,fine_almond,0.6142000000000001,0.06146706435156958,5,0.2682,0.14678112957734044,5,0.2726,0.14299055912891592,5,0.7562,0.03101128826733906,5,0.19419999999999998,0.09302526538527046,5,0.3348,0.18379526653317274,5,0.238,0.12117961874836873,5,0.9907999999999999,0.005215361924162113,5
KNN,KNN_n_neighbors=5_metric=cosine,fine_amber,0.7121999999999999,0.0754102115101131,5,0.3362,0.0439340414712783,5,0.33340000000000003,0.05556347721300387,5,0.807,0.02938537050983021,5,0.248,0.069745967625376,5,0.2994,0.09081739921402726,5,0.4502,0.16938919682199335,5,0.9743999999999999,0.021279097725232607,5
KNN,KNN_n_neighbors=5_metric=cosine,fine_animal,0.6614000000000001,0.014449913494550791,5,0.29619999999999996,0.10621063976833958,5,0.29779999999999995,0.10381088574903885,5,0.7045999999999999,0.02939897957412805,5,0.1984,0.047210168396225834,5,0.32680000000000003,0.2170684223925719,5,0.36160000000000003,0.0635318817602627,5,0.961,0.03919821424503926,5
KNN,KNN_n_neighbors=5_metric=cosine,fine_anisic,0.6365999999999999,0.06510606730558986,5,0.3548,0.17057754834678568,5,0.3384,0.15280641347796892,5,0.7476,0.08414748956445464,5,0.2512,0.13738522482421464,5,0.5026,0.30241163998761694,5,0.27999999999999997,0.13074593683935268,5,0.9936,0.005594640292279753,5
KNN,KNN_n_neighbors=5_metric=cosine,fine_apple,0.7346,0.06632721914870247,5,0.42279999999999995,0.05898474379023781,5,0.4514,0.06429074583484003,5,0.8452,0.03591935411446037,5,0.3652,0.06153616822649913,5,0.4244,0.03547252457889063,5,0.517,0.14823967080373596,5,0.9523999999999999,0.015852444606432186,5
KNN,KNN_n_neighbors=5_metric=cosine,fine_apricot,0.6328,0.08537681184021803,5,0.14100000000000001,0.06814323150541073,5,0.1336,0.048634350000796765,5,0.6854,0.05126207174900366,5,0.0504,0.015241391012633982,5,0.089,0.02324865587512534,5,0.3146,0.19756087669374214,5,0.9506,0.027428087793355153,5
KNN,KNN_n_neighbors=5_metric=cosine,fine_aromatic,0.569,0.06820923691113986,5,0.0792,0.0634168747258961,5,0.0822,0.052746563869128,5,0.5892,0.06672855460745426,5,0.0534,0.038733706251790574,5,0.0698,0.05307730211681825,5,0.1894,0.15167992616031958,5,0.9484,0.02687563952727452,5
KNN,KNN_n_neighbors=5_metric=cosine,fine_balsamic,0.6881999999999999,0.0167391756069407,5,0.375,0.04364630568559038,5,0.40540000000000004,0.02955164970014365,5,0.8343999999999999,0.029938269823087605,5,0.37520000000000003,0.05532359352030561,5,0.42400000000000004,0.1306904740216363,5,0.4182,0.05482882453600479,5,0.9581999999999999,0.021707141681944233,5
KNN,KNN_n_neighbors=5_metric=cosine,fine_banana,0.728,0.0695233773633013,5,0.3168,0.05399259208447026,5,0.31120000000000003,0.06786530777945385,5,0.8048,0.0254302968916998,5,0.2552,0.10239482408793915,5,0.2522,0.10146526499250864,5,0.5046,0.17102719082064116,5,0.9512,0.03407638478477429,5
KNN,KNN_n_neighbors=5_metric=cosine,fine_beefy,0.6446,0.15787431710066083,5,0.2254,0.1649478705530932,5,0.1806,0.13039286790311808,5,0.7398,0.08091168024457283,5,0.1344,0.07844297291663542,5,0.30660000000000004,0.396815196281594,5,0.3,0.3278437127657018,5,0.9892,0.012716131487209483,5
KNN,KNN_n_neighbors=5_metric=cosine,fine_bergamot,0.6454,0.13679108158063527,5,0.28559999999999997,0.2203935117012295,5,0.271,0.22203828498707154,5,0.7148,0.15646948584308695,5,0.2098,0.15501838600630571,5,0.323,0.22902292461672913,5,0.2954,0.27700234656045786,5,0.9958,0.0061400325732035195,5
KNN,KNN_n_neighbors=5_metric=cosine,fine_berry,0.6602,0.03802893635115237,5,0.1706,0.035599157293396716,5,0.1766,0.02456216602826387,5,0.6679999999999999,0.03668787265568827,5,0.1502,0.029600675667964073,5,0.11139999999999999,0.015630099167951553,5,0.4316,0.0787165802102708,5,0.8888,0.00920326029187481,5
KNN,KNN_n_neighbors=5_metric=cosine,fine_bitter,0.603,0.06858571279792897,5,0.21420000000000003,0.04218649072866811,5,0.1968,0.05563002786265704,5,0.6437999999999999,0.06620573993242578,5,0.1026,0.039916162140165724,5,0.29300000000000004,0.11437657102746175,5,0.2222,0.1618971895988315,5,0.9846,0.02607297451385249,5
