label,Bal.Acc_mean,Bal.Acc_std,MCC_mean,MCC_std,F1_mean,F1_std,ROC_AUC_mean,ROC_AUC_std,PR_AUC_mean,PR_AUC_std,Precision_mean,Precision_std,Sensitivity_mean,Sensitivity_std,Specificity_mean,Specificity_std
citrus,0.7544069029141828,0.034153120397706294,0.4570510859259464,0.04233747602562899,0.49823698529711696,0.03843202493529084,0.8815128963305787,0.0068833307348838075,0.4814050092995603,0.06441205012557497,0.448621112513696,0.035225772545510584,0.5666087455933442,0.07557401606630189,0.9422050602350216,0.013483212279077351
clean,0.5798618545929772,0.036059379068502304,0.14027231506943436,0.045809223988877525,0.15312770831166678,0.04851580408835492,0.8007942351978053,0.0366333187553028,0.1286146140524867,0.024062835586895884,0.14696969696969697,0.047918621285375426,0.1825948930296756,0.08456216409662379,0.9771288161562787,0.01473490569683256
clove,0.761485094648794,0.09866694198490952,0.3873018436556797,0.14919934274189614,0.375036075036075,0.1435282384494071,0.8545076401776563,0.13914038010817148,0.3588851351917831,0.16147453995076114,0.2903174603174603,0.11411252309203328,0.5316666666666666,0.19758964210369595,0.9913035226309214,0.0006248396484227157
cocoa,0.6930958035601312,0.04063490744344458,0.3514416915277706,0.056280219526344565,0.3609325396825397,0.053774557834614704,0.8846428525010243,0.026123684926947725,0.33244890355576195,0.1425625817339072,0.3448319327731092,0.10149685621337766,0.4071159420289855,0.08692500032545009,0.9790756650912769,0.009511626448121332
coconut,0.753332768303159,0.06107535878303959,0.4897170438544648,0.08777138959092863,0.4951076931925085,0.08740410348185038,0.9170741183511442,0.009630912833520886,0.48902865125634776,0.08292216756059564,0.489766081871345,0.0938126146484743,0.5168793195108984,0.12248665714606301,0.9897862170954197,0.00342230112025879
coffee,0.7003246250303075,0.09544140916700414,0.3605400179114834,0.09396028222114106,0.35737947716997814,0.0977882107143414,0.9349782216248542,0.01767732883705628,0.36797511188205645,0.06872835057272669,0.36873866873866873,0.11238852855351862,0.4196669996669996,0.2022188324443436,0.9809822503936154,0.014144758083802292
cognac,0.757716679847185,0.030199995727565022,0.4705419210316391,0.06968851044139013,0.4735470241608349,0.08453121259490667,0.9510151392933134,0.017854211434356844,0.4700405754362776,0.07667952467793501,0.45717722837927444,0.13720780816239916,0.5353293807641634,0.0769592273394147,0.9801039789302068,0.020056000385947514
cooked,0.6271368883781074,0.053532195725902766,0.1802083367189186,0.04455762869247949,0.1859598323427091,0.03477605219992687,0.8554409581077038,0.04134438451930362,0.12987674082124476,0.0328204289610814,0.1454040923514607,0.02427842291829293,0.2840032679738562,0.11830892480022458,0.9702705087823589,0.013206462048846011
cooling,0.7015823536467233,0.057217409274530874,0.29718163131774056,0.06455060427931601,0.2933762681131102,0.0679378512835832,0.8879809907101966,0.039512968641713636,0.27412244490149773,0.07228650189532253,0.23885714285714282,0.08125545507590146,0.4280392156862745,0.12381619371871201,0.9751254916071719,0.013084558513335459
cortex,0.5124490816658637,0.01873305881469999,0.0369368050025271,0.0662627017855227,0.03529411764705882,0.052613364176465637,0.7482814888643613,0.08668340904105831,0.06715630053950518,0.037795997867564185,0.07575757575757575,0.14532822797917333,0.030952380952380943,0.042591770999995976,0.9939457823793465,0.008742659411745322
coumarinic,0.6902593410200509,0.07928002545885725,0.41990312357604276,0.19067831059498372,0.41007326007326006,0.19178631573412644,0.9073621556584888,0.05575061432369713,0.4085556857218906,0.10358160928140178,0.5007359307359307,0.2682565608314452,0.3869871794871795,0.15670546699439147,0.9935315025529224,0.006453710880324049
creamy,0.6345904499951024,0.02723090873713254,0.2233898982676957,0.06590103085919792,0.2534591630054277,0.06617084451367644,0.7931843631932043,0.024565339253237457,0.26448344986615036,0.04745028073778142,0.21515927089239106,0.07586016455764721,0.3183579985905567,0.04888418146863582,0.9508229013996479,0.01364400231090897
cucumber,0.7566197565078274,0.11894275206677254,0.4063528204709762,0.21444416432727886,0.3962621607782898,0.2145856155784269,0.9724422050811761,0.018392398009593677,0.38632839615533643,0.14737681997889335,0.33878787878787875,0.224976730195993,0.5233333333333333,0.23786602723714084,0.9899061796823215,0.0050951545817940185
dairy,0.6523224031631876,0.04958268023493468,0.28609828539281157,0.08245383117495564,0.30161834399122534,0.0817621183010145,0.8409733957756238,0.059255860059119314,0.28553072574279337,0.09552764665546674,0.2902899732992612,0.07923196008900009,0.32566666666666666,0.1004821708894999,0.9789781396597086,0.007859675577584312
dry,0.5700844855626824,0.027810318516337813,0.16567383230466906,0.06644126072751093,0.1842569140991028,0.06364640310348796,0.7250803599917252,0.02370543572126131,0.14869957318134297,0.015795921937445993,0.22938723585782403,0.08719399950343738,0.16129887585532746,0.05522621645085352,0.9788700952700374,0.011447816759249886
earthy,0.6492950423508385,0.013268389127627735,0.3078828736798413,0.03223676294309952,0.3489208782531628,0.02403713346021128,0.7773229072527521,0.0512083686946075,0.28131719922370596,0.04514614755609925,0.36840021840021836,0.07747500884424273,0.34265016029721906,0.040513569275167576,0.9559399244044577,0.016733498789693324
ethereal,0.7500028920043136,0.03092707722779875,0.5518339249096803,0.06847608475949367,0.5715116735022043,0.06215981705277342,0.9171381926112376,0.026213460253070024,0.6312118560392701,0.06818024255818597,0.6392580511793438,0.08153031134276577,0.5183342961816029,0.05793766120185249,0.9816714878270242,0.006192871335647804
fatty,0.7680885108969894,0.016311799390362366,0.5210061706289003,0.01959754389532551,0.5786291873620621,0.014573830523147202,0.8666635187976566,0.009473626826354577,0.5812591126027773,0.03828501744103777,0.5629263449337285,0.051561860572335645,0.6034188034188034,0.05720752318181711,0.9327582183751753,0.02821502836137913
fermented,0.6813347055339666,0.07802089811581547,0.4152511212465441,0.1312548710304636,0.4109629832231197,0.12926238610529545,0.8822417748732775,0.052973454842306825,0.40598410548788877,0.16930326564259265,0.5226183637334533,0.19287966608280951,0.37543513957307056,0.163596274194675,0.9872342714948624,0.01260545779918994
fishy,0.6963633093512981,0.034188161493266166,0.4531242367170119,0.13547921616453937,0.44952564102564097,0.12146960277543552,0.9241942370844303,0.03417815275301513,0.48615922025511915,0.07054794380118468,0.5460822510822511,0.2409866786375299,0.39965686274509804,0.06530922291860049,0.9930697559574982,0.005716341418881232
floral,0.7697582797586927,0.010428096583451082,0.5072821907280884,0.014151933153778554,0.6226617827751386,0.00968741188777733,0.85876151773268,0.007003255004805521,0.6171651359039165,0.017369023276920133,0.5717120066068415,0.024620451345790956,0.685816217146095,0.03400171783658442,0.8537003423712903,0.018363591938560422
fresh,0.6445606790600379,0.020445530151283694,0.24866181246574487,0.018758218733064526,0.3338745801429355,0.017386365516681882,0.7792442377149634,0.012731244444080548,0.2824057358010329,0.01868578406715519,0.2918699772014006,0.055501297668711695,0.41835955856305257,0.09183954248988124,0.8707617995570232,0.052674341099262854
fruit skin,0.5689502299133042,0.0746026789668307,0.10407898598430987,0.07830704117123899,0.09555024685459464,0.06506942727597295,0.7556583698941695,0.06029170877329083,0.10769859442368546,0.03958454200904087,0.12169312169312166,0.13352583315655966,0.16055555555555553,0.16736428074453583,0.9773449042710529,0.027860324068975335
fruity,0.7696578945806827,0.017449353914623923,0.5532890942311236,0.033211424901295694,0.7121509918750569,0.02488475186318397,0.8579462982980839,0.013368258451839036,0.8020535092523966,0.022859813394984333,0.7563171378410392,0.024461788780876504,0.6734408574726332,0.033327008151626196,0.8658749316887322,0.015234727879581814
garlic,0.82704163672744,0.07750426642703702,0.5346479276652292,0.053336961427105284,0.5267040808515817,0.043417347286607025,0.9817686595990669,0.0075871940108504805,0.6339137951815508,0.09296880180280127,0.463895023808484,0.135826290446008,0.6762263099219621,0.1647700484979853,0.9778569635329181,0.011050215279712986
gassy,0.6626444870865112,0.19623829241305255,0.15858845104938185,0.15731000935666747,0.13242424242424242,0.12228502435253431,0.9486452693824752,0.031317751302032064,0.34885960667167937,0.24788988367564535,0.0897921619756116,0.0845188745597979,0.34285714285714286,0.41156743688251235,0.9824318313158796,0.01986056310433855
geranium,0.6563172671140045,0.0945810749355481,0.23857809446610725,0.10219182639200117,0.23049765697899477,0.10103338711842982,0.8867415280792731,0.049748813071600194,0.2288223082000112,0.08180734560675029,0.21194444444444444,0.07593044250342174,0.3288311688311688,0.19714191402777004,0.9838033653968401,0.009622231186980525
