Feature_Name,Assigned_Type
morgan_266,Numerical
morgan_267,Numerical
morgan_268,Numerical
morgan_269,Numerical
morgan_270,Numerical
morgan_271,Numerical
morgan_272,Numerical
morgan_273,Numerical
morgan_274,Numerical
morgan_275,Numerical
morgan_276,Numerical
morgan_277,Numerical
morgan_278,Numerical
morgan_279,Numerical
morgan_280,Numerical
morgan_281,Numerical
morgan_282,Numerical
morgan_283,Numerical
morgan_284,Numerical
morgan_285,Numerical
morgan_286,Numerical
morgan_287,Numerical
morgan_288,Numerical
morgan_289,Numerical
morgan_290,Numerical
morgan_291,Numerical
morgan_292,Numerical
morgan_293,Categorical
morgan_293,Categorical
morgan_294,Numerical
morgan_295,Numerical
morgan_296,Numerical
morgan_297,Numerical
morgan_298,Numerical
morgan_299,Numerical
morgan_300,Numerical
morgan_301,Numerical
morgan_302,Numerical
morgan_303,Numerical
morgan_304,Numerical
morgan_305,Numerical
morgan_306,Numerical
morgan_307,Numerical
morgan_308,Numerical
morgan_309,Numerical
morgan_310,Numerical
morgan_311,Numerical
morgan_312,Numerical
morgan_313,Numerical
morgan_314,Numerical
morgan_315,Numerical
morgan_316,Numerical
morgan_317,Numerical
morgan_318,Numerical
morgan_319,Numerical
morgan_320,Numerical
morgan_321,Numerical
morgan_322,Numerical
morgan_323,Numerical
morgan_324,Numerical
morgan_325,Numerical
morgan_326,Numerical
morgan_327,Numerical
morgan_328,Numerical
morgan_329,Numerical
morgan_330,Numerical
morgan_331,Numerical
morgan_332,Numerical
morgan_333,Numerical
morgan_334,Numerical
morgan_335,Numerical
morgan_336,Numerical
morgan_337,Numerical
morgan_338,Numerical
morgan_339,Numerical
morgan_340,Numerical
morgan_341,Numerical
morgan_342,Numerical
morgan_343,Numerical
morgan_344,Numerical
morgan_345,Numerical
morgan_346,Numerical
morgan_347,Numerical
morgan_348,Numerical
morgan_349,Numerical
morgan_350,Numerical
morgan_351,Numerical
morgan_352,Numerical
morgan_353,Numerical
morgan_354,Numerical
morgan_355,Numerical
morgan_356,Numerical
morgan_357,Numerical
morgan_358,Numerical
morgan_359,Numerical
morgan_360,Numerical
morgan_361,Numerical
morgan_362,Numerical
morgan_363,Numerical
morgan_364,Numerical
morgan_365,Numerical
morgan_366,Numerical
morgan_367,Numerical
morgan_368,Numerical
morgan_369,Numerical
morgan_370,Numerical
morgan_371,Numerical
morgan_372,Numerical
morgan_373,Numerical
morgan_374,Categorical
morgan_374,Categorical
morgan_375,Numerical
morgan_376,Numerical
morgan_377,Numerical
morgan_378,Numerical
morgan_379,Numerical
morgan_380,Numerical
morgan_381,Numerical
morgan_382,Categorical
morgan_382,Categorical
morgan_383,Numerical
morgan_384,Numerical
morgan_385,Numerical
morgan_386,Numerical
morgan_387,Numerical
morgan_388,Numerical
morgan_389,Numerical
morgan_390,Numerical
morgan_391,Numerical
morgan_392,Numerical
morgan_393,Numerical
morgan_394,Numerical
morgan_395,Numerical
morgan_396,Numerical
morgan_397,Numerical
morgan_398,Numerical
morgan_399,Numerical
morgan_400,Numerical
morgan_401,Numerical
morgan_402,Numerical
morgan_403,Numerical
morgan_404,Numerical
morgan_405,Numerical
morgan_406,Numerical
morgan_407,Numerical
morgan_408,Numerical
morgan_409,Numerical
morgan_410,Numerical
morgan_411,Numerical
morgan_412,Numerical
morgan_413,Numerical
morgan_414,Numerical
morgan_415,Numerical
morgan_416,Numerical
morgan_417,Numerical
morgan_418,Numerical
morgan_419,Numerical
morgan_420,Numerical
morgan_421,Numerical
morgan_422,Categorical
morgan_422,Categorical
morgan_423,Numerical
morgan_424,Numerical
morgan_425,Numerical
morgan_426,Numerical
morgan_427,Numerical
morgan_428,Numerical
morgan_429,Numerical
morgan_430,Numerical
morgan_431,Numerical
morgan_432,Numerical
morgan_433,Numerical
morgan_434,Numerical
morgan_435,Numerical
morgan_436,Numerical
morgan_437,Numerical
morgan_438,Numerical
morgan_439,Numerical
morgan_440,Numerical
morgan_441,Numerical
morgan_442,Numerical
morgan_443,Numerical
morgan_444,Numerical
morgan_445,Numerical
morgan_446,Numerical
morgan_447,Numerical
morgan_448,Numerical
morgan_449,Numerical
morgan_450,Numerical
morgan_451,Numerical
morgan_452,Numerical
morgan_453,Numerical
morgan_454,Numerical
morgan_455,Numerical
morgan_456,Numerical
morgan_457,Numerical
morgan_458,Numerical
morgan_459,Numerical
morgan_460,Numerical
morgan_461,Numerical
morgan_462,Numerical
morgan_463,Numerical
morgan_464,Numerical
morgan_465,Categorical
morgan_465,Categorical
morgan_466,Numerical
morgan_467,Numerical
morgan_468,Numerical
morgan_469,Numerical
morgan_470,Numerical
morgan_471,Numerical
morgan_472,Numerical
morgan_473,Numerical
morgan_474,Numerical
morgan_475,Numerical
morgan_476,Numerical
morgan_477,Numerical
morgan_478,Numerical
morgan_479,Numerical
morgan_480,Numerical
morgan_481,Numerical
morgan_482,Numerical
morgan_483,Numerical
morgan_484,Numerical
morgan_485,Numerical
