label,Bal.Acc_mean,Bal.Acc_std,MCC_mean,MCC_std,F1_mean,F1_std,ROC_AUC_mean,ROC_AUC_std,PR_AUC_mean,PR_AUC_std,Precision_mean,Precision_std,Sensitivity_mean,Sensitivity_std,Specificity_mean,Specificity_std
cabbage,0.7665570039151943,0.11010049675831973,0.2510507294493408,0.08493755155201275,0.20309055466950202,0.06782116124099044,0.9277670721382736,0.06109638792955489,0.183215547367963,0.08463446208279755,0.12864620208190689,0.04575951842390378,0.5723376623376624,0.22691047196430486,0.9607763454927263,0.020158357993141317
camphoreous,0.7166821160439729,0.03901874852088324,0.38228246837431246,0.05730408075851583,0.39162352287352287,0.0570813432980066,0.9321257249528386,0.024022265560898315,0.3656609314782856,0.10375477485716586,0.3627673005602462,0.10674548444648643,0.4578347578347578,0.08431436089801546,0.975529474253188,0.011320377250828573
caramellic,0.6847015596727359,0.04884916607131423,0.45267839016801065,0.07145424948726133,0.4551497927480689,0.08129021757833046,0.8966093329353052,0.013066309108261766,0.4523923069578227,0.039514514743321565,0.6001617647058823,0.10937717373025323,0.38313043478260866,0.10276627546233616,0.9862726845628631,0.007765581892447693
cedar,0.7502650662575784,0.10387625570048599,0.3099065683148119,0.1280802513418236,0.2841351241351241,0.11896715326728195,0.9512191182181869,0.03077196148466507,0.2587008223046986,0.11127305929936099,0.20259143155694875,0.08663597343853104,0.5232323232323232,0.2085020743020714,0.9772978092828335,0.011678695521774793
celery,0.5915402999770412,0.07724243573265253,0.12958011765948782,0.10304806932848717,0.12419413919413917,0.1046800715889249,0.7548424991817401,0.09718526478298539,0.12162762449885464,0.06056944717791564,0.12073286052009458,0.10461158524687038,0.19818181818181818,0.16641303014604208,0.9848987817722643,0.017519849500644932
chamomile,0.6965824290289399,0.10497931752673562,0.2106829690817016,0.06022612541146075,0.18363025210084033,0.085397800954596,0.935739008641578,0.025310114959294038,0.17382858182396227,0.06222971082351376,0.14883230804283434,0.09845140885617103,0.42000000000000004,0.24335616331258644,0.9731648580578796,0.03666873745283011
cheesy,0.7313728700779889,0.07305295657286272,0.3775530040860103,0.07695724016876766,0.3925071850878784,0.06712446988066495,0.9011669161655602,0.025862235828502885,0.4009494795286326,0.0666158188574421,0.334515868158769,0.054866050903396094,0.502635066863716,0.1571515947342662,0.960110673292262,0.015487131799238354
cherry,0.6115108282880067,0.10424982516076198,0.25519240878918986,0.0987314777627659,0.2136980381989456,0.08772358523024797,0.9100279878006926,0.01464950250078508,0.1957321771487548,0.04441143356720226,0.4390033222591362,0.3360879839350888,0.23317226890756304,0.2222235353048519,0.9898493876684504,0.014132782378607385
chocolate,0.6151923127151114,0.09830438375170421,0.16801957553831387,0.11923056400935907,0.1665688394604057,0.10890110778352949,0.827530315547343,0.043785254147257945,0.13877270457598678,0.09982218679403171,0.14625577321229494,0.11242497373238855,0.25210761460761455,0.2132527975226037,0.9782770108226083,0.02000263645555136
cinnamon,0.6995725413895618,0.10465195698973101,0.2980805368013618,0.08574612886228623,0.2910212243604973,0.07541378167001395,0.9314386172652813,0.03778014213553793,0.3361527391700736,0.15826959991479422,0.2455983302411874,0.061962378727554,0.4172619047619047,0.2207643326934158,0.9818831780172189,0.012844054699674291
citrus,0.7289913907904602,0.050997820134410426,0.39786048909370636,0.0666609373853604,0.44277946262854717,0.061149308112423424,0.8586068003763808,0.020513183449488773,0.3885324934116611,0.06429362938113091,0.3880322062285613,0.04859743079207332,0.52611076204171,0.11177331523824706,0.9318720195392103,0.014231136111326684
clean,0.5638485791864434,0.06956906934097547,0.07918820472756752,0.08643880951266741,0.08702980536218684,0.08123564096789325,0.7753288151001266,0.04928657631249906,0.07842007731154141,0.030971664754498376,0.06990065239165154,0.07403628108271776,0.15952380952380948,0.16695553198341148,0.9681733488490772,0.029543757845185266
clove,0.6205409866800597,0.13834821776234718,0.15680018707359356,0.1706264361846603,0.14816586921850075,0.15375702290462637,0.8641853473760002,0.11073895761418144,0.17361685678425598,0.12736283561591755,0.11142857142857143,0.11390561792957522,0.25277777777777777,0.28061055566499504,0.9883041955823417,0.008540117186816635
cocoa,0.6034047092514695,0.05433513273509156,0.24023625551815408,0.0648033448505162,0.23385757623616427,0.054120568115109874,0.8775446696991228,0.015852883732182813,0.25940555118488084,0.02878216803045062,0.3368253968253968,0.15549558651067455,0.22221739130434778,0.12335193323532567,0.9845920271985911,0.016232024918730895
coconut,0.7097395783466627,0.031053789686572204,0.41515608789569464,0.04343367955079557,0.4228695688958517,0.0437521836402093,0.9073558531760358,0.011598016821781838,0.3665558919350557,0.06298319552374587,0.42712418300653593,0.07445184885258277,0.4307216905901116,0.06450502032760178,0.9887574661032138,0.004647618330331837
coffee,0.653338442018853,0.1271584851328343,0.2358452036972817,0.15535016462470536,0.2344730953426605,0.14040627306625184,0.9306386717092883,0.0064258557818902,0.24896936720309318,0.07956913617779793,0.21866910866910866,0.14709126583742943,0.3342490842490842,0.27115661411361097,0.9724277997886219,0.021245134620411846
