Fold,Model,Config,Bal.Acc,MCC,F1,ROC_AUC,PR_AUC,Precision,Sensitivity,Specificity
3,RF,RF_n_estimators=300_max_features=sqrt,0.744,0.457,0.618,0.821,0.648,0.548,0.712,0.776
3,SVM,SVM_C=0.1,0.708,0.39,0.574,0.79,0.572,0.497,0.703,0.712
3,SVM,SVM_C=1,0.72,0.434,0.6,0.813,0.61,0.558,0.656,0.784
3,SVM,SVM_C=10,0.72,0.41,0.584,0.798,0.596,0.522,0.671,0.77
3,XGB,XGB_n_estimators=100_max_depth=3,0.721,0.424,0.594,0.813,0.627,0.541,0.674,0.768
3,XGB,XGB_n_estimators=100_max_depth=6,0.723,0.423,0.595,0.808,0.624,0.532,0.679,0.768
3,XGB,XGB_n_estimators=300_max_depth=3,0.723,0.42,0.589,0.809,0.623,0.533,0.672,0.773
3,XGB,XGB_n_estimators=300_max_depth=6,0.717,0.418,0.59,0.806,0.625,0.538,0.658,0.777
4,KNN,KNN_n_neighbors=11_metric=cosine,0.712,0.399,0.58,0.796,0.573,0.502,0.701,0.722
4,KNN,KNN_n_neighbors=11_metric=euclidean,0.704,0.394,0.574,0.791,0.568,0.509,0.678,0.731
4,KNN,KNN_n_neighbors=21_metric=cosine,0.71,0.397,0.576,0.794,0.574,0.504,0.677,0.744
4,KNN,KNN_n_neighbors=21_metric=euclidean,0.693,0.373,0.56,0.792,0.576,0.496,0.666,0.72
4,KNN,KNN_n_neighbors=5_metric=cosine,0.71,0.395,0.575,0.78,0.541,0.505,0.679,0.742
4,KNN,KNN_n_neighbors=5_metric=euclidean,0.71,0.399,0.577,0.777,0.537,0.511,0.677,0.744
4,LR,LR_C=0.01,0.722,0.408,0.584,0.799,0.584,0.502,0.703,0.741
4,LR,LR_C=0.1,0.713,0.401,0.578,0.798,0.586,0.507,0.688,0.739
4,LR,LR_C=1,0.712,0.396,0.574,0.797,0.586,0.5,0.691,0.733
4,LR,LR_C=10,0.712,0.395,0.574,0.797,0.586,0.5,0.691,0.733
4,LR,LR_C=100,0.711,0.396,0.574,0.797,0.586,0.504,0.681,0.74
4,RF,RF_n_estimators=100_max_features=log2,0.715,0.425,0.587,0.815,0.628,0.552,0.654,0.776
4,RF,RF_n_estimators=100_max_features=sqrt,0.721,0.421,0.59,0.812,0.625,0.523,0.686,0.757
4,RF,RF_n_estimators=300_max_features=log2,0.722,0.43,0.594,0.816,0.632,0.543,0.672,0.772
4,RF,RF_n_estimators=300_max_features=sqrt,0.727,0.431,0.592,0.816,0.635,0.539,0.664,0.791
4,SVM,SVM_C=0.1,0.702,0.381,0.566,0.781,0.558,0.488,0.701,0.703
4,SVM,SVM_C=1,0.726,0.424,0.597,0.804,0.594,0.522,0.706,0.746
4,SVM,SVM_C=10,0.707,0.404,0.575,0.793,0.588,0.533,0.63,0.783
4,XGB,XGB_n_estimators=100_max_depth=3,0.708,0.397,0.574,0.8,0.606,0.507,0.678,0.738
4,XGB,XGB_n_estimators=100_max_depth=6,0.704,0.396,0.57,0.803,0.617,0.52,0.664,0.744
4,XGB,XGB_n_estimators=300_max_depth=3,0.707,0.391,0.566,0.797,0.61,0.507,0.67,0.745
4,XGB,XGB_n_estimators=300_max_depth=6,0.712,0.411,0.577,0.801,0.619,0.538,0.651,0.772
