,,,,,,best_epoch,best_epoch,train_loss_at_best,train_loss_at_best,val_meta_roc_auc,val_meta_roc_auc,roc_auc_138,roc_auc_138,pr_auc_138,pr_auc_138,f1_macro_138,f1_macro_138,f1_micro_138,f1_micro_138,precision_macro_138,precision_macro_138,recall_macro_138,recall_macro_138,precision_micro_138,precision_micro_138,recall_micro_138,recall_micro_138,matched_accuracy_138,matched_accuracy_138,hamming_loss_138,hamming_loss_138,jaccard_138,jaccard_138,hier_violation_rate_138,hier_violation_rate_138,roc_auc_12,roc_auc_12,pr_auc_12,pr_auc_12,f1_macro_12,f1_macro_12,instance_f1_12,instance_f1_12,balanced_accuracy_12,balanced_accuracy_12,matched_accuracy_12,matched_accuracy_12,sensitivity_macro_12,sensitivity_macro_12,specificity_macro_12,specificity_macro_12,precision_macro_12,precision_macro_12,recall_macro_12,recall_macro_12,hamming_loss_12,hamming_loss_12,jaccard_12,jaccard_12,hier_violation_rate_12,hier_violation_rate_12,label_cooc_consistency_12,label_cooc_consistency_12,test_loss,test_loss
,,,,,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
global_dim,local_dim,dropout,lr,weight_decay,lambda_viol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,32,0.5,0.001,0.001,0.1,25.4,6.06630035524124,0.72554,0.0043558007300610515,0.7916399999999999,0.005355651220906781,0.69458,0.008995943530280747,0.10198,0.0018952572384771406,0.0944,0.0017029386365926434,0.27588,0.006812635319756967,0.07686,0.0032338831147708485,0.17868,0.008262384643672795,0.19834000000000002,0.009058311100862011,0.45477999999999996,0.02001716763181045,0.00304,0.00191128229207514,0.08446000000000001,0.0056725655571355,0.057699999999999994,0.0012389511693363872,0.31854,0.02561060327286338,0.7929,0.0039044846010709293,0.58904,0.01433380619375053,0.57894,0.009874360738802287,0.5942000000000001,0.010952168735004056,0.7138,0.00627773844628781,0.05514,0.007611701518057574,0.70394,0.027363990936996,0.72366,0.02862809808562207,0.49976000000000004,0.01953363765405721,0.70394,0.027363990936996,0.26058000000000003,0.01141258077737019,0.41402,0.00939026091224307,0.0,0.0,0.15858,0.02117987252086282,0.71386,0.0050242412362464855
64,32,0.5,0.001,0.001,0.3,25.8,10.256705123966467,0.7293200000000001,0.007753837759458183,0.79142,0.0054942697421950775,0.69052,0.014225224075563765,0.09844,0.008927933691510036,0.0896,0.008700000000000001,0.26183999999999996,0.012122004784688044,0.06924,0.008985989094139835,0.18606,0.01405624416407171,0.18314,0.012958124864346693,0.46158,0.013365515328635856,0.00262,0.0020909328061896205,0.09224,0.007369056927450082,0.05432,0.005226088403385461,0.34942,0.02851871315469898,0.7944,0.003817721833764215,0.5908800000000001,0.014520055096314176,0.57702,0.012371216593367056,0.5949,0.011225194875813938,0.71166,0.006154104321507776,0.057319999999999996,0.0040164661084092345,0.6918599999999999,0.020575057715593415,0.73146,0.020360574648078993,0.50376,0.01892849703489423,0.6918599999999999,0.020575057715593415,0.25694,0.009163132652101016,0.4121,0.011496738667987517,0.0,0.0,0.154,0.01903247225139183,0.7135,0.0043214580872664625
64,32,0.6,0.001,0.0001,0.0,35.4,4.722287581247038,0.70548,0.007489459259519376,0.78992,0.005479233523039496,0.80374,0.009324054911893276,0.16684000000000002,0.010140414192724084,0.15977999999999998,0.0097998469375802,0.31964000000000004,0.014380994402335342,0.13824,0.011080523453339198,0.25658,0.010104553429023978,0.24136000000000002,0.015497193294271072,0.47428,0.012750176469367007,0.025140000000000003,0.0018822858443923976,0.07154,0.00496819886880548,0.09826,0.006419345761056963,0.18156,0.029515301116539532,0.79298,0.0034766363053963484,0.58534,0.012338679021678138,0.57724,0.0081503374163283,0.59504,0.008815497717088915,0.71204,0.0045577406683575405,0.057499999999999996,0.008111719916269298,0.7165,0.015204604565722821,0.70758,0.013851606405034751,0.49276,0.014709622700803681,0.7165,0.015204604565722821,0.26704,0.007826110144893197,0.41238,0.007935804937118821,0.0,0.0,0.17376,0.01058881485341963,0.69106,0.006808303753505685
64,32,0.6,0.001,0.0001,0.01,39.0,21.98863342729602,0.70748,0.019696497150508786,0.7899200000000001,0.005690957740134783,0.80006,0.009853831742017956,0.16555999999999998,0.01588499291784546,0.15755999999999998,0.0161724457024904,0.31999999999999995,0.013857308540982969,0.13628,0.017337012430058415,0.25686,0.011128252333587689,0.23824,0.017079900468094048,0.48918,0.01283012081003137,0.02532,0.0024221890925359237,0.07364,0.0047432056670568224,0.09706000000000001,0.010170201571257078,0.20695999999999998,0.019229482572341885,0.79234,0.004705103612036605,0.586,0.014748728758777812,0.5753,0.011273198303941977,0.5914200000000001,0.011586284995631661,0.71048,0.0037824595172982543,0.058519999999999996,0.0032668027182552665,0.71262,0.005937339471514203,0.70842,0.009211243130001516,0.49128,0.017412552943207406,0.71262,0.005937339471514203,0.26786,0.007340844638050823,0.41045999999999994,0.01057983931825056,0.0,0.0,0.17476,0.010993770963595705,0.6923999999999999,0.00146799182559028
64,32,0.6,0.001,0.0001,0.05,30.6,7.197221686178632,0.71158,0.009446004446325451,0.78922,0.005313849828514179,0.79802,0.012425658936249624,0.16126000000000001,0.015534574342414407,0.15428,0.01015268437409536,0.32036,0.010188621103957107,0.13213999999999998,0.013409809842052194,0.25412,0.017089675245597857,0.23824,0.01374074233802526,0.49082,0.015443995596994954,0.02432,0.004179952152836202,0.07374,0.005437186772587455,0.09508,0.006700522367696417,0.19876,0.02552622181208962,0.7910999999999999,0.005529918625079414,0.5846,0.013095609951430396,0.57504,0.013294096434131963,0.59286,0.015710760643584353,0.7069,0.005480419691957896,0.05534,0.00992461586158376,0.70458,0.016278114141386288,0.7092,0.02151708623396769,0.49437999999999993,0.02076913575476842,0.70458,0.016278114141386288,0.26624,0.013595330080582826,0.41034,0.01251371247871708,0.0,0.0,0.17307999999999998,0.021390815786220027,0.69408,0.006121437739616409
64,32,0.6,0.001,0.0001,0.1,37.0,6.2048368229954285,0.7032,0.007482980689538114,0.78888,0.006164981751797845,0.8006800000000001,0.007440900483140491,0.16772,0.009290694268998428,0.15852000000000002,0.01038686670753024,0.31762,0.012343702848011201,0.13477999999999998,0.007600460512363706,0.25898,0.01752004566204097,0.23723999999999998,0.012518106885627706,0.48125999999999997,0.015453252084917254,0.02454,0.003058267483396441,0.0732,0.004076150144437764,0.0977,0.0067171422494986715,0.19412000000000001,0.008957231715212012,0.79154,0.004803956702552609,0.58396,0.014059445223763217,0.5745600000000001,0.012528886622521542,0.5927,0.014269197594819445,0.7072,0.00671863081289631,0.059340000000000004,0.005741776728504862,0.69892,0.012533036343998993,0.7155,0.017110230857589257,0.49898,0.019366130227797235,0.69892,0.012533036343998993,0.26358000000000004,0.01183879216812255,0.41012000000000004,0.01192505765185224,0.0,0.0,0.17148000000000002,0.02125398786110504,0.6918200000000001,0.00448073654659589
64,32,0.6,0.001,0.0001,0.3,27.6,9.555103348473004,0.7168599999999999,0.015834708712192995,0.7893,0.005487257967327572,0.79306,0.015566727337497746,0.15889999999999999,0.013577370879518623,0.14762,0.016595842852955674,0.3097,0.0172361538633188,0.12261999999999999,0.014922030692905031,0.2472,0.01715196781713398,0.22986,0.018399538037679113,0.47606000000000004,0.003929758262285353,0.02232,0.0060168097859247625,0.0752,0.004954291069366032,0.09056,0.010538880395943391,0.22156000000000003,0.03005158897629209,0.7917799999999999,0.005462783173438229,0.58438,0.014638374226668735,0.57562,0.012416601789539702,0.5941,0.014011245483539318,0.71162,0.006379028139144698,0.057920000000000006,0.0068122683446851994,0.69896,0.014838733099560748,0.72432,0.017754210768152968,0.49846,0.020141573920624933,0.69896,0.014838733099560748,0.26068,0.010074323798647743,0.41112000000000004,0.012025265069843593,0.0,0.0,0.1633,0.013826966406265693,0.69436,0.0033842281246984434
64,32,0.6,0.001,0.001,0.0,33.0,22.704625079485456,0.7589,0.016262379899633368,0.78232,0.007841683492720176,0.6387,0.017408044117591132,0.07942,0.010524352711687304,0.06908,0.008200426818160139,0.23048000000000002,0.015913422007852368,0.04914,0.005762204439274954,0.17778,0.009529533042075048,0.15006,0.012099917355089671,0.49779999999999996,0.016697454895881564,0.0004,0.0005477225575051661,0.11776,0.005929839795475086,0.04174,0.005562193811797645,0.40553999999999996,0.0458107301840955,0.78574,0.0034551410969741406,0.57438,0.013468741589324542,0.5666800000000001,0.010933297764169828,0.5841999999999999,0.009074139077620471,0.70372,0.00800543565335455,0.0511,0.0068399561402102595,0.70488,0.019237905291377217,0.7025399999999999,0.01525755550538813,0.48502,0.008451745381872327,0.70488,0.019237905291377217,0.27354,0.0077031162525305185,0.40254,0.010169218259040312,0.0,0.0,0.18206,0.0193259669874498,0.72904,0.003181666230137966
64,32,0.6,0.001,0.001,0.01,23.4,12.660963628413123,0.7664199999999999,0.01056442142287027,0.78152,0.008396844645460592,0.63624,0.016427050861307975,0.0769,0.008635392289873114,0.0669,0.008572339237337726,0.23146,0.01768256203156092,0.049120000000000004,0.005993913579623918,0.16956,0.010927625542632765,0.15278,0.014300594393241143,0.47897999999999996,0.013447378926764886,0.0002,0.00044721359549995795,0.11286,0.008249424222332128,0.04,0.005596874127582286,0.39186,0.04529639058468123,0.7844800000000001,0.003985222703940133,0.57286,0.011217976644653864,0.5650999999999999,0.0057892141090134085,0.5858800000000001,0.00839476027054968,0.7008599999999999,0.003908708226511631,0.05532,0.00742206170817786,0.7057399999999999,0.022367006952205285,0.6959799999999999,0.021502255695624122,0.48314,0.009213468402290197,0.7057399999999999,0.022367006952205285,0.27515999999999996,0.008767439763123552,0.40112000000000003,0.005820395175587309,0.0,0.0,0.19752,0.019185593553497377,0.7317,0.0066588287258345785
64,32,0.6,0.001,0.001,0.05,22.2,6.906518659932803,0.7666999999999999,0.007197569034055886,0.7819200000000001,0.0074694042600464364,0.63594,0.01311270376390774,0.08012,0.009200652150798877,0.06692000000000001,0.008136768400292586,0.23557999999999998,0.019764918416224252,0.04888,0.007689733415405246,0.16604000000000002,0.013213175242915673,0.15566,0.017839646857491325,0.48961999999999994,0.02534002762429434,0.0006000000000000001,0.0005477225575051661,0.11298,0.011703717358172999,0.040279999999999996,0.0054393933485270204,0.41600000000000004,0.037363819397914895,0.78528,0.0020191582404556463,0.57448,0.01005171627136382,0.5673999999999999,0.008395832299420893,0.58722,0.009787594188563387,0.70202,0.007167775108079201,0.0533,0.007148426400264607,0.69588,0.025906118968305553,0.70814,0.015847018647051573,0.48769999999999997,0.006792643079096678,0.69588,0.025906118968305553,0.26922,0.009111640906005913,0.40321999999999997,0.008389696061240846,0.0,0.0,0.18178,0.018371091421034293,0.73076,0.005491174737704098
64,32,0.6,0.001,0.001,0.1,24.8,5.540758070878027,0.76546,0.005269060637343265,0.7825599999999999,0.007483849276943015,0.63824,0.015579730421287775,0.07976,0.00636105337188739,0.06978,0.005779013756688936,0.23552,0.014386000139024064,0.0508,0.004304648650006177,0.1756,0.016338757602706526,0.15386,0.009822830549286695,0.50302,0.03703555048868587,0.0004,0.0005477225575051661,0.11544000000000001,0.005940370358824441,0.04208,0.003934717270656182,0.41166,0.024113854938603227,0.78466,0.0036651057283522003,0.5738,0.01051522705413439,0.56882,0.004738354144637175,0.58692,0.007663354356937984,0.70368,0.003346191865389641,0.0533,0.006127805479941412,0.69584,0.022371030374124475,0.7115199999999999,0.021676877081350996,0.49144,0.010960520060654053,0.69584,0.022371030374124475,0.26824000000000003,0.010129313895817435,0.40464,0.005037161899323845,0.0,0.0,0.18131999999999998,0.028735117887351697,0.73046,0.004278784874237074
64,32,0.6,0.001,0.001,0.3,32.0,17.507141400011598,0.7636000000000001,0.012284950142348912,0.7830600000000001,0.007833773037304533,0.63116,0.011654097991693698,0.07698,0.008531529757317855,0.06523999999999999,0.006116207975535169,0.22944,0.013678011551391513,0.04836,0.0040580783629693504,0.16794,0.013836654219861093,0.15023999999999998,0.010357267979539769,0.48644,0.02431816193712016,0.0002,0.00044721359549995795,0.11564,0.005977708591090735,0.03912,0.004121528842553452,0.41559999999999997,0.0397261878362372,0.7865,0.0032085822414268665,0.57516,0.011977604100987827,0.56922,0.008483925977989162,0.5835,0.009031334342166701,0.7047399999999999,0.002745541840875858,0.0529,0.010175214985443796,0.70946,0.018901798856193565,0.7000200000000001,0.021306501355220178,0.48617999999999995,0.011291235539125005,0.70946,0.018901798856193565,0.2751,0.008860304735165742,0.40474,0.008372753430025264,0.0,0.0,0.18908,0.020662695855091128,0.73016,0.00412104355715881
64,32,0.7,0.001,0.0001,0.0,45.4,16.75708805252273,0.7449399999999999,0.012983951632688739,0.77874,0.0075151846284705545,0.7756000000000001,0.0129801771944762,0.1357,0.012345849504995586,0.11952,0.00863463954082624,0.29696,0.0051795752721627624,0.09436,0.007733563214974067,0.2312,0.021671525096310134,0.21302,0.0066971635787100164,0.49144,0.022875270490204054,0.020300000000000002,0.004840970976983852,0.08231999999999999,0.005222738745141292,0.07289999999999999,0.005197114584074514,0.21804,0.0330807043455849,0.78174,0.004780481147332335,0.5668599999999999,0.01544775064532047,0.56386,0.012011369613828411,0.58232,0.011292563924990678,0.69918,0.008307346146634299,0.05412,0.007826046255932816,0.71392,0.03796092728056047,0.68442,0.026483995166892794,0.48262,0.014533134555215543,0.71392,0.03796092728056047,0.28204,0.013320397891955013,0.40008,0.01070523236553041,0.0,0.0,0.21162,0.026421336075225257,0.70966,0.0023922792479140367
64,32,0.7,0.001,0.0001,0.01,44.6,14.926486525636232,0.74544,0.012964104288380296,0.7782199999999999,0.00780685596126888,0.7742600000000001,0.011862672548797783,0.1356,0.012051763356455353,0.11821999999999999,0.009170441646943724,0.29594,0.005254807322823545,0.09752,0.012996037857747264,0.22752,0.021187189525748818,0.21404,0.006603256772229895,0.48026,0.017981045575827893,0.01786,0.006287924935938723,0.08080000000000001,0.004372070447739834,0.0719,0.005475856097451795,0.21652,0.015181468967132267,0.78126,0.0038785306496146414,0.5644600000000001,0.012026553953647798,0.5641,0.008856918199915858,0.5803200000000001,0.015460821452950076,0.70048,0.003671784307390586,0.053500000000000006,0.006633249580710801,0.71064,0.013216958802992462,0.69036,0.015320672309007867,0.48026,0.014364121971077821,0.71064,0.013216958802992462,0.28115999999999997,0.011861408010856032,0.40009999999999996,0.008651589449343995,0.0,0.0,0.20126,0.022468155242475956,0.71106,0.0032469986141049965
64,32,0.7,0.001,0.0001,0.05,53.6,32.028112651231886,0.74202,0.01545726366469822,0.77888,0.008562826636105629,0.77798,0.01138494620101474,0.13642,0.010967543024761748,0.12152,0.006412253893912806,0.29384,0.007433236172758124,0.10142,0.0076165609037150105,0.22674,0.010993543559744507,0.21231999999999998,0.008966437419622142,0.47858,0.02290189948454061,0.01972,0.009421624063822543,0.0813,0.0037716044331292274,0.07398,0.003861605883567098,0.2145,0.016528914059913302,0.7820199999999999,0.003963836525387961,0.56594,0.012089375500827157,0.56574,0.010841033161096827,0.5826399999999999,0.012741193036760759,0.70028,0.005044501957577157,0.05432,0.010061659902819216,0.70912,0.015164333153818585,0.6915,0.012569606199081965,0.48146000000000005,0.011412843642142838,0.70912,0.015164333153818585,0.2793,0.0056753854494650865,0.40156000000000003,0.01002935690859586,0.0,0.0,0.19936,0.018836480562992648,0.70902,0.0038421348232460825
64,32,0.7,0.001,0.0001,0.1,45.0,22.847319317591726,0.7455999999999999,0.014726336951190537,0.77832,0.0069912087652994346,0.7752399999999999,0.014061223275376863,0.13526,0.012173865450217524,0.12305999999999999,0.007326868362404217,0.29724,0.006472480204681983,0.10106,0.008906626746417517,0.23115999999999998,0.01940510242178588,0.21345999999999998,0.005965567869029737,0.49036,0.024934774913762517,0.020479999999999998,0.008290778009330608,0.08196,0.003992868642968365,0.07486000000000001,0.004228829625321883,0.22877999999999998,0.02595779266424632,0.78228,0.004607276852979405,0.56646,0.011220650605022883,0.5654999999999999,0.010537077393660875,0.58284,0.012837562073851862,0.70096,0.00525290395876415,0.051680000000000004,0.005337321425584187,0.71438,0.009044998618020914,0.6875199999999999,0.005699298202410528,0.48182,0.012820374409509255,0.71438,0.009044998618020914,0.28044,0.004200357127673761,0.40149999999999997,0.01026109155986823,0.0,0.0,0.2056,0.01455214760782752,0.7089399999999999,0.004343731115066858
64,32,0.7,0.001,0.0001,0.3,38.8,16.34625339336204,0.7498400000000001,0.012926445760532954,0.77854,0.00767678318047345,0.77238,0.014731666572387524,0.13306,0.012705235141468254,0.11798,0.008467998582900212,0.29712,0.0051431507852677215,0.09670000000000001,0.011097747519204067,0.22347999999999998,0.025016434598079708,0.21474000000000001,0.0037580580091318445,0.48348,0.03308469434647993,0.017660000000000002,0.00830560052013098,0.08086,0.005200288453537947,0.07206,0.005158778925288427,0.21118,0.01666364305906724,0.78166,0.005334604015294845,0.5654,0.012980947577122377,0.5662200000000001,0.011409951796567725,0.58022,0.015429419950211997,0.70058,0.009100384607256968,0.0487,0.006973879838368308,0.72378,0.012411365758851867,0.67744,0.009694225085070004,0.47745999999999994,0.010906786877903122,0.72378,0.012411365758851867,0.2855,0.007139327699440645,0.40204000000000006,0.011019210498034792,0.0,0.0,0.21134,0.013923828496501943,0.7107,0.0025622255950637947
64,32,0.7,0.001,0.001,0.0,31.0,21.059439688652688,0.7985599999999999,0.009106206674570945,0.76696,0.010701775553617213,0.56678,0.012853871012267124,0.05192,0.003489555845662883,0.04228,0.0021833460559425744,0.19756,0.004108284313433051,0.026740000000000003,0.001747283606058272,0.16904,0.006207495469188843,0.12076,0.0026801119379607974,0.54306,0.023986725495573555,0.0,0.0,0.15596000000000002,0.006298650649147002,0.02454,0.0012116104984688763,0.4892,0.015431623375393787,0.7694799999999999,0.0020054924582256464,0.54896,0.009066035517247883,0.55716,0.006437623785217658,0.5755,0.005296697084032633,0.69096,0.006310546727503084,0.04864,0.003924665590849747,0.7146399999999999,0.016611080639139665,0.6673,0.01861155555024889,0.4665,0.00679632253501848,0.7146399999999999,0.016611080639139665,0.29112,0.008563410535528494,0.3935,0.006052685354452196,0.0,0.0,0.23157999999999998,0.01548941574107945,0.74992,0.0070325670988622595
